strategies,coin,interval,tp_pct,sl_pct,min_confidence,trades,wins,win_rate,total_pnl,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,1.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,3.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,5.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,1.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,3.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,5.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,1.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,3.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,5.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,1.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,3.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,5.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,5.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,1.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,3.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,5.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
